Age at enrollment,avg_grade,avg_success_rate,financial_issue,Scholarship holder,Gender,Daytime/evening attendance,Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled)
21,12.100000000000001,0.9545454545454546,0,0,1,1,11,10
41,0.0,0.0,1,0,1,1,5,5
21,11.125,0.6666666666666666,0,0,1,1,6,6
18,13.666666666666668,1.0,0,0,0,1,6,6
19,14.731428571428571,0.875,0,0,0,1,8,8
21,11.020833333333332,0.75,0,0,0,1,6,6
19,0.0,0.0,1,0,1,1,5,4
20,0.0,0.0,1,0,0,1,7,6
19,0.0,0.0,0,0,0,1,6,6
18,10.6,0.5833333333333334,1,0,1,1,6,6
18,11.69,0.875,0,0,1,1,8,8
20,10.333333333333334,0.5,0,0,0,1,6,6
20,12.744285714285716,0.875,0,1,0,1,8,8
19,11.25,0.5833333333333333,0,0,1,1,6,6
18,12.0,0.9,0,0,0,1,5,5
21,11.622222222222224,0.7916666666666667,1,0,1,1,12,12
20,13.599444444444444,0.8571428571428572,0,0,1,1,7,8
20,5.0,0.08333333333333333,0,0,0,1,6,6
19,11.066666666666666,0.6666666666666667,0,0,0,1,6,6
22,6.0,0.3,1,0,1,1,4,5
25,10.5,0.2,0,0,1,1,5,5
19,12.333333333333332,1.0,0,1,0,1,6,6
21,12.25,0.41666666666666663,1,0,0,1,6,6
19,12.9,0.8571428571428571,0,1,0,1,7,7
22,11.375,0.7,0,0,1,1,5,5
18,15.857142857142858,1.0,0,1,1,1,6,6
21,12.880952380952381,1.0,0,0,1,1,6,6
19,11.6,0.9166666666666667,1,0,1,1,6,6
29,16.341269841269842,1.0,0,0,1,1,6,6
18,14.75,0.75,1,0,1,1,6,6
28,11.8,1.0,0,0,0,0,5,5
21,11.833333333333334,1.0,0,1,0,1,6,6
18,13.73125,1.0,0,1,0,1,8,8
30,14.827678571428573,1.0,0,0,0,1,7,8
35,11.166666666666668,0.5833333333333333,0,0,1,1,6,6
18,12.75,1.0,0,0,0,1,6,6
19,5.0,0.1,0,0,1,1,5,5
19,10.458333333333332,0.7,0,0,0,1,5,5
18,12.083333333333332,1.0,0,1,1,1,6,6
21,14.5,1.0,0,0,0,1,5,5
25,13.875,0.8,1,0,0,1,5,5
38,6.333333333333333,0.21428571428571427,1,0,1,1,7,5
18,14.2125,1.0,0,1,0,1,7,8
22,12.666666666666668,0.8035714285714286,0,0,1,1,7,8
19,12.333333333333332,1.0,0,0,0,1,6,6
18,15.136875,1.0,0,0,0,1,7,8
32,14.5,1.0,0,0,1,0,5,5
20,11.4,0.8,0,0,1,1,5,5
26,5.875,0.14285714285714285,0,0,1,1,7,5
26,10.933333333333334,0.6666666666666667,0,0,0,0,6,6
19,13.183333333333334,0.9166666666666667,1,0,1,1,6,6
18,12.392857142857142,0.8333333333333333,0,1,0,1,6,6
18,5.5,0.1,0,0,0,1,5,5
19,13.142857142857142,0.9285714285714286,0,1,0,1,7,7
19,11.9,0.8333333333333334,0,1,0,1,6,6
21,12.939393939393938,0.9583333333333333,0,1,0,1,12,12
43,0.0,0.0,0,1,0,0,6,5
23,13.333333333333332,1.0,0,1,0,0,6,6
22,10.8,0.6349206349206349,1,0,0,1,7,9
20,0.0,0.0,0,0,1,1,0,0
26,11.291666666666668,0.5208333333333333,1,0,1,0,12,8
18,0.0,0.0,0,1,1,1,0,0
22,11.533333333333333,0.6785714285714286,0,0,1,1,10,7
18,14.537301587301588,1.0,0,1,0,1,7,8
34,0.0,0.0,0,0,0,1,6,6
18,12.25,1.0,0,0,1,1,6,6
19,13.2,0.9166666666666667,0,0,0,1,6,6
44,12.104166666666668,1.0,0,0,0,0,8,6
33,0.0,0.0,1,0,1,1,6,5
18,0.0,0.0,0,0,0,1,1,6
28,12.333333333333332,0.41666666666666663,0,0,1,1,6,6
34,12.549242424242424,0.823076923076923,0,0,0,1,15,13
21,10.916666666666668,0.8333333333333333,0,0,0,1,6,6
54,12.675,0.75,0,0,0,0,6,6
18,12.266666666666666,0.9166666666666667,0,0,0,1,6,6
18,12.083333333333332,0.41666666666666663,0,0,1,1,6,6
44,11.923076923076923,1.0,0,0,1,0,13,11
18,10.0,0.2,0,0,1,1,5,5
19,13.8,1.0,0,0,0,1,5,5
20,12.709821428571429,0.9117647058823529,0,0,0,1,17,12
19,13.325,0.8571428571428571,0,0,1,1,7,7
21,11.875,0.41666666666666663,0,0,0,1,6,6
18,14.044642857142858,1.0,0,0,0,1,6,6
26,0.0,0.0,0,0,0,1,5,5
31,0.0,0.0,0,0,0,1,6,6
18,14.109375,1.0,0,1,0,1,7,8
49,13.226190476190476,1.0,1,1,1,1,6,6
30,0.0,0.0,0,0,1,1,5,5
26,11.5,0.5,0,0,0,0,5,5
21,12.2,0.9166666666666667,0,0,0,1,6,6
23,0.0,0.0,0,0,0,1,0,0
19,14.328571428571427,0.875,0,0,0,1,8,8
24,0.0,0.0,1,0,1,1,6,6
20,12.166666666666668,1.0,0,0,0,1,6,6
18,0.0,0.0,0,1,0,1,0,0
29,15.666666666666668,0.4,0,0,1,1,5,5
18,12.86,1.0,0,0,0,1,8,8
35,11.585470085470085,1.0,0,0,1,1,18,13
19,12.530303030303031,0.9545454545454546,0,0,0,1,12,11
20,13.666666666666668,1.0,0,1,0,1,6,6
21,11.291666666666668,0.5833333333333333,0,0,0,1,6,6
34,12.600000000000001,0.8333333333333334,0,0,0,1,6,6
18,12.273809523809524,0.9166666666666667,0,1,1,1,6,6
18,12.3,0.7,0,0,0,1,5,5
27,12.95,0.8712121212121212,0,0,0,1,6,11
35,11.25,0.30000000000000004,1,0,0,1,5,5
21,14.583333333333332,1.0,0,1,0,1,6,6
21,11.622727272727271,0.8674242424242424,1,0,1,1,12,11
54,0.0,0.0,1,0,0,1,7,5
20,11.833333333333332,0.5,0,0,1,1,5,5
20,13.607142857142858,1.0,0,1,1,1,6,6
19,11.2,0.7142857142857143,0,1,1,1,7,7
19,12.1,0.9166666666666667,0,0,0,0,6,6
19,11.25,0.5,1,0,0,1,6,6
