Age at enrollment,avg_grade,avg_success_rate,financial_issue,Scholarship holder,Gender,Daytime/evening attendance,Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled),Target
20,0.0,0.0,0,0,1,1,0,0,0
19,13.833333333333332,1.0,1,0,1,1,6,6,2
19,0.0,0.0,1,0,1,1,6,6,0
20,12.914285714285715,0.9166666666666667,0,0,0,1,6,6,2
45,12.666666666666668,0.9166666666666667,0,0,0,0,6,6,2
50,11.678571428571429,1.0,1,0,1,0,5,5,2
18,13.822500000000002,1.0,0,1,0,1,7,8,2
22,0.0,0.0,1,0,1,1,5,5,0
21,14.008928571428571,1.0,0,1,0,1,6,6,2
18,12.45,0.5833333333333334,1,0,0,1,6,6,0
18,13.266666666666666,0.9166666666666667,0,0,0,1,6,6,2
18,13.214285714285714,0.875,0,1,0,1,8,8,2
19,0.0,0.0,0,0,0,1,6,6,0
21,10.785714285714285,0.9166666666666667,0,1,0,1,6,6,2
18,12.625,0.9,0,1,0,1,5,5,2
20,6.6,0.4166666666666667,0,0,0,1,6,6,0
18,11.5,0.25,0,0,0,1,6,6,1
18,13.925625,1.0,0,0,0,1,7,8,2
20,12.375,0.8,0,0,0,1,5,5,2
18,12.583333333333332,0.8571428571428571,0,0,0,1,7,7,1
21,0.0,0.0,0,1,0,1,0,0,2
20,11.43125,1.0,0,0,0,1,7,8,1
18,12.857142857142858,0.875,0,0,0,1,8,8,2
19,12.830357142857142,1.0,0,1,0,1,6,6,2
19,13.70547619047619,0.8660714285714286,0,0,0,1,7,8,2
18,11.3,0.75,1,1,0,1,6,6,1
21,12.330357142857142,1.0,0,0,0,1,6,6,2
18,12.833333333333332,0.9,0,0,0,1,5,5,1
20,12.166666666666668,1.0,0,0,0,1,5,5,2
19,13.325,0.8571428571428571,0,0,1,1,7,7,1
21,11.214285714285715,0.8333333333333334,0,0,1,1,6,6,1
20,13.116666666666667,0.8333333333333333,0,0,1,1,6,6,2
18,12.416666666666668,0.5,1,0,1,1,5,5,1
19,13.520833333333332,1.0,0,0,0,0,6,6,2
34,12.914285714285715,1.0,0,0,1,0,5,5,2
37,5.0,0.07142857142857142,1,0,1,1,7,7,0
43,0.0,0.0,0,0,1,1,5,5,0
